year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,11,12,1016,958,18,1245,1215,30,9E,4060,N8580A,LGA,DAY,92,549,9,58,2013-11-12T14:00:00Z
2013,9,24,719,729,-10,904,934,-30,EV,4144,N11192,EWR,CHS,86,628,7,29,2013-09-24T11:00:00Z
2013,6,13,1127,1126,1,1431,1415,16,UA,703,N557UA,JFK,LAX,317,2475,11,26,2013-06-13T15:00:00Z
2013,3,21,628,630,-2,804,810,-6,EV,5667,N16987,EWR,RDU,69,416,6,30,2013-03-21T10:00:00Z
2013,6,10,1940,1945,-5,2054,2125,-31,AA,361,N4WNAA,LGA,ORD,105,733,19,45,2013-06-10T23:00:00Z
2013,8,26,527,530,-3,744,801,-17,UA,1545,N37281,EWR,IAH,176,1400,5,30,2013-08-26T09:00:00Z
2013,1,31,1531,1515,16,1715,1700,15,MQ,4333,N931MQ,JFK,PIT,74,340,15,15,2013-01-31T20:00:00Z
2013,10,28,2126,2127,-1,2229,2237,-8,EV,4372,N14186,EWR,DCA,40,199,21,27,2013-10-29T01:00:00Z
2013,5,12,650,659,-9,941,951,-10,B6,49,N588JB,JFK,PBI,152,1028,6,59,2013-05-12T10:00:00Z
2013,7,19,856,905,-9,1206,1225,-19,DL,874,N370NB,LGA,MIA,142,1096,9,5,2013-07-19T13:00:00Z
2013,3,11,1728,1720,8,1842,1910,-28,AA,345,N4YTAA,LGA,ORD,117,733,17,20,2013-03-11T21:00:00Z
2013,4,6,1948,1950,-2,2034,2044,-10,EV,4457,N29917,EWR,PHL,25,80,19,50,2013-04-06T23:00:00Z
2013,10,19,2049,2053,-4,2331,2313,18,EV,4212,N14204,EWR,MSY,195,1167,20,53,2013-10-20T00:00:00Z
2013,3,23,1142,1030,72,1509,1355,74,AA,179,N386AA,JFK,SFO,361,2586,10,30,2013-03-23T14:00:00Z
2013,1,26,1637,1645,-8,1943,2005,-22,AA,181,N332AA,JFK,LAX,335,2475,16,45,2013-01-26T21:00:00Z
2013,12,22,1551,1515,36,1731,1653,38,EV,4552,N15910,EWR,GSO,77,445,15,15,2013-12-22T20:00:00Z
2013,7,19,1056,1055,1,1448,1445,3,B6,403,N505JB,JFK,SJU,201,1598,10,55,2013-07-19T14:00:00Z
2013,10,2,829,837,-8,928,939,-11,EV,4249,N15983,EWR,BWI,37,169,8,37,2013-10-02T12:00:00Z
2013,1,23,854,855,-1,1104,1104,0,9E,3353,N906XJ,JFK,DTW,101,509,8,55,2013-01-23T13:00:00Z
2013,2,18,1857,1855,2,2049,2100,-11,US,1491,N179UW,LGA,CLT,82,544,18,55,2013-02-18T23:00:00Z
2013,3,28,555,605,-10,730,805,-35,MQ,4401,N713MQ,LGA,DTW,74,502,6,5,2013-03-28T10:00:00Z
2013,12,28,1007,820,107,1118,940,98,MQ,3370,N849MQ,JFK,DCA,41,213,8,20,2013-12-28T13:00:00Z
2013,6,5,1025,1030,-5,1235,1243,-8,DL,2343,N302DQ,EWR,ATL,108,746,10,30,2013-06-05T14:00:00Z
2013,10,1,608,615,-7,738,813,-35,US,840,N108UW,EWR,CLT,67,529,6,15,2013-10-01T10:00:00Z
2013,11,7,624,630,-6,842,840,2,US,2085,N543UW,LGA,CLT,102,544,6,30,2013-11-07T11:00:00Z
2013,4,21,805,810,-5,1025,1037,-12,9E,3538,N905XJ,JFK,MSP,164,1029,8,10,2013-04-21T12:00:00Z
2013,10,15,1816,1742,34,2015,1940,35,EV,4382,N27962,EWR,DTW,80,488,17,42,2013-10-15T21:00:00Z
2013,1,1,848,851,-3,1155,1136,19,UA,1741,N27724,EWR,JAC,275,1874,8,51,2013-01-01T13:00:00Z
2013,10,4,1932,1934,-2,2145,2136,9,EV,4370,N13202,EWR,CHS,84,628,19,34,2013-10-04T23:00:00Z
2013,12,13,1953,1930,23,2155,2155,0,9E,3445,N905XJ,LGA,DSM,161,1031,19,30,2013-12-14T00:00:00Z
2013,11,6,805,800,5,1017,1016,1,9E,2921,N930XJ,JFK,MSP,169,1029,8,0,2013-11-06T13:00:00Z
2013,3,5,556,600,-4,850,906,-16,UA,1431,N17245,EWR,DFW,215,1372,6,0,2013-03-05T11:00:00Z
