state,abb,region,population
Alabama,AL,South,4779736
Alaska,AK,West,710231
Arizona,AZ,West,6392017
Arkansas,AR,South,2915918
California,CA,West,37253956
Colorado,CO,West,5029196
Connecticut,CT,Northeast,3574097
Delaware,DE,South,897934
District of Columbia,DC,South,601723
Florida,FL,South,19687653
Georgia,GA,South,9920000
Hawaii,HI,West,1360301
Idaho,ID,West,1567582
Illinois,IL,North Central,12830632
Indiana,IN,North Central,6483802
Iowa,IA,North Central,3046355
Kansas,KS,North Central,2853118
Kentucky,KY,South,4339367
Louisiana,LA,South,4533372
Maine,ME,Northeast,1328361
Maryland,MD,South,5773552
Massachusetts,MA,Northeast,6547629
Michigan,MI,North Central,9883640
Minnesota,MN,North Central,5303925
Mississippi,MS,South,2967297
Missouri,MO,North Central,5988927
Montana,MT,West,989415
Nebraska,NE,North Central,1826341
Nevada,NV,West,2700551
New Hampshire,NH,Northeast,1316470
New Jersey,NJ,Northeast,8791894
New Mexico,NM,West,2059179
New York,NY,Northeast,19378102
North Carolina,NC,South,9535483
North Dakota,ND,North Central,672591
Ohio,OH,North Central,11536504
Oklahoma,OK,South,3751351
Oregon,OR,West,3831074
Pennsylvania,PA,Northeast,12702379
Rhode Island,RI,Northeast,1052567
South Carolina,SC,South,4625364
South Dakota,SD,North Central,814180
Tennessee,TN,South,6346105
Texas,TX,South,25145561
Utah,UT,West,2763885
Vermont,VT,Northeast,625741
Virginia,VA,South,8001024
Washington,WA,West,6724540
West Virginia,WV,South,1852994
Wisconsin,WI,North Central,5686986
Wyoming,WY,West,563626
